,text,gloss
0,How are you today?,"TODAY, HOW ARE YOU?"
1,What's your favorite food?,"FAVORITE FOOD, WHAT?"
2,Where did you go on vacation?,"VACATION WHERE, YOU GO?"
3,Did you watch the game last night?,"GAME LAST NIGHT, YOU WATCH?"
4,How's work going?,"WORK, HOW GO?"
5,Have you read any good books lately?,"BOOK GOOD READ, YOU HAVE?"
6,What time is it?,TIME WHAT?
7,Do you have any plans for the weekend?,"WEEKEND PLAN, YOU HAVE?"
8,Did you hear about the new restaurant?,"NEW RESTAURANT, YOU HEAR?"
9,Are you feeling better?,"BETTER, YOU FEEL?"
10,"Can you pass me the salt, please?","SALT PASS ME, PLEASE."
11,What's the weather like today?,"TODAY WEATHER, HOW?"
12,Do you need any help?,"HELP NEED, YOU?"
13,How was your day?,"DAY, HOW WAS?"
14,What do you do for fun?,"FUN DO, YOU HAVE?"
15,Are you busy right now?,"NOW BUSY, YOU ARE?"
16,Have you seen that movie?,"MOVIE SEE, YOU?"
17,What's your favorite color?,"FAVORITE COLOR, WHAT?"
18,Would you like some coffee?,"COFFEE WANT, YOU?"
19,Are you going to the party?,"PARTY GO, YOU?"
20,What's your favorite TV show?,"TV SHOW FAVORITE, WHAT?"
21,Did you have a good weekend?,"WEEKEND GOOD, YOU HAVE?"
22,Where did you grow up?,"GROW UP, WHERE?"
23,What's your dream job?,"JOB DREAM, WHAT?"
24,Do you have any pets?,"PET HAVE, YOU?"
25,How's your family doing?,"FAMILY HOW, THEY?"
26,Did you enjoy the concert?,"CONCERT ENJOY, YOU?"
27,What's your favorite sport?,"SPORT FAVORITE, WHAT?"
28,Are you feeling tired?,"TIRED, YOU FEEL?"
29,What's your favorite season?,"SEASON FAVORITE, WHAT?"
30,Do you have any siblings?,"SIBLING HAVE, YOU?"
31,How's the new job going?,"NEW JOB, HOW GO?"
32,What's your favorite hobby?,"HOBBY FAVORITE, WHAT?"
33,Are you hungry?,"HUNGRY, YOU?"
34,What's your favorite movie genre?,"MOVIE GENRE FAVORITE, WHAT?"
35,Do you like to travel?,"TRAVEL LIKE, YOU?"
36,How's your day been so far?,"DAY, HOW BEEN?"
37,What's your favorite restaurant?,"RESTAURANT FAVORITE, WHAT?"
38,Have you ever been abroad?,"ABROAD GO, YOU BEFORE?"
39,What's your favorite holiday?,"HOLIDAY FAVORITE, WHAT?"
40,Do you prefer tea or coffee?,"TEA COFFEE, WHICH PREFER?"
41,How's your weekend going?,"WEEKEND, HOW GO?"
42,Do you like to cook?,"COOK LIKE, YOU?"
43,What's your favorite book genre?,"BOOK GENRE FAVORITE, WHAT?"
44,Did you have a good sleep?,"SLEEP GOOD, YOU HAVE?"
45,How do you like your steak cooked?,"STEAK HOW COOK, YOU LIKE?"
46,Are you excited about the trip?,"TRIP EXCITED, YOU ARE?"
47,What's your favorite dessert?,"DESSERT FAVORITE, WHAT?"
48,Did you have a good commute?,"COMMUTE GOOD, YOU HAVE?"
49,What's your favorite childhood memory?,"CHILDHOOD MEMORY FAVORITE, WHAT?"
0,Spending time outdoors has numerous benefits for both physical and mental health,"OUTDOORS SPEND TIME BENEFIT MANY, PHYSICAL, MENTAL HEALTH."
1, The fresh air and natural light can improve mood and increase energy levels,"FRESH AIR, NATURAL LIGHT IMPROVE MOOD, INCREASE ENERGY."
2," Engaging in physical activities like walking, jogging, or cycling helps maintain a healthy weight, strengthens muscles, and improves cardiovascular health","PHYSICAL ACTIVITY WALK, JOG, CYCLE HELP HEALTHY WEIGHT, STRONG MUSCLES, BETTER HEART HEALTH."
3," Moreover, being in nature reduces stress and anxiety, promoting a sense of calm and well-being","BE IN NATURE REDUCE STRESS, ANXIETY, PROMOTE CALM, WELL-BEING."
4, Social interactions that often occur during outdoor activities can enhance emotional health by reducing feelings of loneliness and depression,"SOCIAL INTERACT OUTDOORS IMPROVE EMOTIONAL HEALTH, LESS LONELY, LESS DEPRESSION."
5," Children, in particular, benefit greatly from playing outside.  It encourages creativity, improves social skills, and fosters a sense of independence","CHILDREN BENEFIT PLAY OUTSIDE, ENCOURAGE CREATIVITY, BETTER SOCIAL SKILLS, MORE INDEPENDENCE."
6," Additionally, exposure to sunlight helps the body produce vitamin D, which is essential for bone health","SUNLIGHT HELP BODY MAKE VITAMIN D, GOOD FOR BONES."
7, Studies have shown that people who spend more time outdoors tend to have better sleep patterns and overall improved quality of life,"STUDIES SHOW PEOPLE SPEND MORE TIME OUTDOORS SLEEP BETTER, BETTER LIFE QUALITY."
8," In our fast-paced, technology-driven world, it's easy to forget the simple pleasure of being in nature","FAST-PACED TECHNOLOGY WORLD, EASY FORGET NATURE SIMPLE PLEASURE."
9," However, making a conscious effort to spend more time outside can lead to significant improvements in health and happiness","CONSCIOUS EFFORT SPEND MORE TIME OUTSIDE, IMPROVE HEALTH, HAPPINESS."
10," Whether it's a walk in the park, a hike in the mountains, or just sitting in a garden, the benefits of spending time outdoors are undeniable","WALK PARK, HIKE MOUNTAIN, SIT GARDEN, OUTDOORS BENEFIT UNDENIABLE."
11, It's important to make outdoor activities a regular part of our routine to reap these benefits fully,"IMPORTANT MAKE OUTDOOR ACTIVITY REGULAR ROUTINE, REAP BENEFIT."
12," So, take a moment to step outside, breathe deeply, and enjoy the natural world around you","TAKE MOMENT STEP OUTSIDE, BREATHE DEEP, ENJOY NATURE AROUND."
13, Your mind and body will thank you,"MIND, BODY THANK YOU."
14,Exploring new cultures and places has always been an enriching experience for many people,"NEW CULTURES, PLACES EXPLORE, ENRICH EXPERIENCE MANY PEOPLE."
15," Traveling allows individuals to step out of their comfort zones and immerse themselves in different environments, learning about diverse traditions, languages, and lifestyles","TRAVEL ALLOW STEP OUT COMFORT ZONE, IMMERSE DIFFERENT ENVIRONMENTS, LEARN TRADITIONS, LANGUAGES, LIFESTYLES."
16, This exposure broadens perspectives and fosters a deeper understanding and appreciation of the worldís diversity,"EXPOSURE BROADEN PERSPECTIVES, DEEPER UNDERSTAND, APPRECIATE WORLD DIVERSITY."
17, One of the greatest benefits of travel is the opportunity it provides for personal growth,TRAVEL BENEFIT PERSONAL GROWTH.
18," By navigating unfamiliar territories and adapting to new situations, travelers develop resilience, adaptability, and problem-solving skills","NAVIGATE UNFAMILIAR TERRITORIES, ADAPT NEW SITUATIONS, DEVELOP RESILIENCE, ADAPTABILITY, PROBLEM-SOLVE SKILLS."
19," Moreover, travel often involves interacting with people from various backgrounds, which enhances social skills and cultural empathy","INTERACT PEOPLE DIFFERENT BACKGROUNDS, ENHANCE SOCIAL SKILLS, CULTURAL EMPATHY."
20,"Visiting historical landmarks and museums can also provide a profound educational experience, allowing travelers to connect with the past and gain insights into the events that have shaped our world","VISIT HISTORICAL LANDMARKS, MUSEUMS PROVIDE EDUCATIONAL EXPERIENCE, CONNECT PAST, UNDERSTAND EVENTS SHAPE WORLD."
21," Similarly, exploring natural wonders like mountains, forests, and oceans can inspire awe and a sense of responsibility towards environmental conservation","EXPLORE NATURAL WONDERS MOUNTAINS, FORESTS, OCEANS, INSPIRE AWE, RESPONSIBILITY ENVIRONMENTAL CONSERVATION."
22," These experiences can be life-changing, leaving a lasting impact on oneís worldview and values","EXPERIENCES LIFE-CHANGING, LASTING IMPACT WORLDVIEW, VALUES."
23,"In addition to personal enrichment, travel can significantly benefit physical health",TRAVEL BENEFIT PHYSICAL HEALTH.
24," Activities such as hiking, swimming, and walking tours promote physical fitness and can be a fun way to stay active","HIKING, SWIMMING, WALKING TOURS PROMOTE FITNESS, FUN STAY ACTIVE."
25," The mental health benefits are equally significant, as traveling can reduce stress, improve mood, and increase overall happiness","MENTAL HEALTH BENEFITS, REDUCE STRESS, IMPROVE MOOD, INCREASE HAPPINESS."
26," Breaking away from the routine and experiencing new sights and sounds can rejuvenate the mind and body, providing a much-needed break from the daily grind","BREAK ROUTINE, EXPERIENCE NEW SIGHTS, SOUNDS, REJUVENATE MIND, BODY, BREAK DAILY GRIND."
27,Travel also plays a crucial role in the global economy,TRAVEL IMPORTANT GLOBAL ECONOMY.
